id,user_row_id,item_name,count,get_date,expired_date
1,2,item_tag,0,2023-01-24,2023-04-24
2,1,launch_try,1,2023-01-24,2023-01-25
3,2,launch_try,1,2023-01-24,2023-01-30
6,9,item_tag,0,2023-01-30,2023-07-29
7,9,item_tag,0,2023-01-30,2023-07-29
8,8,item_tag,0,2023-01-30,2023-07-29
9,31,item_tag,0,2023-01-30,2023-07-29
10,8,item_tag,0,2023-01-30,2023-07-29
11,18,item_tag,0,2023-01-30,2023-07-29
12,31,item_tag,0,2023-01-30,2023-07-29
13,18,item_tag,0,2023-01-30,2023-07-29
14,8,item_tag,0,2023-01-30,2023-07-29
16,8,item_tag,0,2023-01-30,2023-07-29
15,8,item_tag,0,2023-01-30,2023-07-29
18,29,launch_try,1,2023-02-01,2023-04-27
4,25,launch_try,1,2023-01-30,2023-04-29
26,9,launch_try,1,2023-02-17,2023-05-01
27,13,launch_try,1,2023-02-18,2023-05-03
5,5,launch_try,1,2023-01-30,2023-02-11
29,11,launch_try,1,2023-03-27,2023-03-28
20,6,launch_try,1,2023-02-05,2023-03-28
30,23,launch_try,1,2023-03-27,2023-03-28
17,32,launch_try,1,2023-01-31,2023-02-21
25,21,launch_try,1,2023-02-16,2023-02-24
19,16,launch_try,1,2023-02-03,2023-04-10
21,30,launch_try,1,2023-02-08,2023-04-10
23,10,launch_try,1,2023-02-09,2023-04-13
22,8,launch_try,1,2023-02-09,2023-04-16
24,17,launch_try,1,2023-02-14,2023-04-16
28,14,launch_try,1,2023-03-13,2023-04-19
