id,launched_ui,target_ui,rep_num,start_date,finished
1,1,1,100,2023-01-24,True
2,2,1,100,2023-01-24,True
3,2,2,100,2023-01-24,True
4,25,14,100,2023-01-31,True
5,27,14,100,2023-01-31,True
6,25,23,-1,2023-01-31,True
7,14,21,28,2023-01-31,True
8,9,15,100,2023-02-10,True
9,8,14,100,2023-02-14,True
10,9,22,-100,2023-02-26,True
11,29,13,-100,2023-04-04,True
12,29,13,-100,2023-04-04,True
13,13,29,-100,2023-04-04,True
14,29,13,-1,2023-04-05,True
15,13,29,-100,2023-04-05,True
16,29,13,-1,2023-04-05,True
17,6,6,100,2023-04-05,True
18,9,9,100,2023-04-05,True
19,13,9,-100,2023-04-05,True
20,6,4,100,2023-04-12,True
